iteration,start_flag,x,y,raw_angle,distance,quality
1,0,926.1046459,1995.577657,65.105,2200,188
1,0,912.9466887,1997.234173,65.4346,2196,188
1,0,902.0189743,2002.19324,65.7477,2196,188
1,0,888.8642704,2003.692668,66.0773,2192,188
1,0,874.6976019,2001.189672,66.3904,2184,188
1,0,860.2012102,1998.757083,66.7145,2176,188
1,0,847.7048105,1999.745122,67.0276,2172,188
1,0,834.647164,2000.896827,67.3572,2168,188
1,0,819.1413753,1994.327808,67.6703,2156,188
1,0,801.6615729,1984.17205,67.9999,2140,188
1,0,792.4762807,1992.163985,68.3075,2144,188
1,0,781.0030985,1996.689801,68.6371,2144,188
1,0,765.7701778,1989.728633,68.9502,2132,188
1,0,751.4810101,1986.618305,69.2798,2124,188
1,0,739.2189651,1986.94623,69.5929,2120,188
1,0,726.5942904,1987.33911,69.917,2116,188
1,0,714.3704565,1987.515749,70.2301,2112,188
1,0,700.2627101,1984.048421,70.5597,2104,188
1,0,688.0995603,1984.066278,70.8728,2100,188
1,0,677.2471602,1987.796842,71.1859,2100,188
1,0,664.5328146,1987.866227,71.5155,2096,188
1,0,652.6033579,1987.604804,71.8231,2092,188
1,0,639.9327922,1987.518559,72.1527,2088,188
1,0,629.062246,1990.985859,72.4658,2088,188
1,0,616.415406,1990.750624,72.7954,2084,188
1,0,605.527549,1994.089363,73.1085,2084,188
1,0,590.8164149,1985.980857,73.4326,2072,188
1,0,575.4765879,1973.819317,73.7457,2056,188
1,0,564.1125253,1977.097129,74.0753,2056,188
1,0,553.3000602,1980.150258,74.3884,2056,188
1,0,538.2740871,1975.997218,74.762,2048,188
1,0,525.8690137,1975.195631,75.0916,2044,188
1,0,514.5635305,1976.104343,75.4047,2042,188
1,0,503.187331,1979.03171,75.7343,2042,188
1,0,491.590587,1977.822716,76.0419,2038,188
1,0,478.7911292,1974.786838,76.3715,2032,188
1,0,467.5319402,1975.42752,76.6846,2030,188
1,0,456.1604123,1978.084346,77.0142,2030,188
1,0,444.9054015,1978.596266,77.3273,2028,188
1,0,433.6584309,1979.044306,77.6404,2026,188
1,0,422.4568667,1981.465669,77.9645,2026,188
1,0,410.8099638,1979.828067,78.2776,2022,188
1,0,399.41406,1982.158523,78.6072,2022,188
1,0,388.5763955,1984.311564,78.9203,2022,188
1,0,376.7820164,1984.549146,79.2499,2020,188
1,0,366.1223222,1986.543341,79.5575,2020,188
1,0,353.6349974,1982.709835,79.8871,2014,188
1,0,341.7737674,1978.700253,80.2002,2008,188
1,0,330.3854937,1980.633592,80.5298,2008,188
1,0,319.2389089,1980.434932,80.8429,2006,188
1,0,307.4170891,1978.256488,81.167,2002,188
1,0,296.0095096,1975.951004,81.4801,1998,188
1,0,283.2131948,1967.723122,81.8097,1988,188
1,0,273.0043504,1973.203645,82.1228,1992,188
1,0,263.2705905,1982.596428,82.4359,2000,188
1,0,250.8537579,1976.141795,82.7655,1992,188
1,0,239.5173967,1971.503846,83.0731,1986,188
1,0,228.4019935,1974.835823,83.4027,1988,188
1,0,216.9501367,1970.090515,83.7158,1982,188
1,0,205.6134565,1971.305939,84.0454,1982,188
1,0,194.8379907,1972.400101,84.3585,1982,188
1,0,183.4924848,1971.479269,84.6826,1980,188
1,0,173.2397851,1978.429674,84.9957,1986,188
1,0,161.2038692,1971.420126,85.3253,1978,188
1,0,149.9721377,1966.288981,85.6384,1972,188
1,0,138.7990616,1969.114222,85.968,1974,188
1,0,128.4257391,1975.830668,86.2811,1980,188
1,0,117.6025311,1982.51498,86.6052,1986,188
1,0,106.6596066,1981.130922,86.9183,1984,188
1,0,94.87712267,1973.720936,87.2479,1976,188
1,0,83.74966742,1966.217179,87.561,1968,188
1,0,72.85544736,1962.648232,87.8741,1964,188
1,0,61.75240123,1963.028946,88.1982,1964,188
1,0,51.22871152,1971.334477,88.5114,1972,188
1,0,39.89105852,1971.596486,88.8409,1972,188
1,0,29.11303792,1971.785087,89.1541,1972,188
1,0,17.80921027,1975.919743,89.4836,1976,188
1,0,7.007887173,1975.987573,89.7968,1976,188
1,0,-4.166111801,1975.995608,90.1208,1976,188
1,0,-14.93722265,1971.943427,90.434,1972,188
1,0,-26.27728349,1971.824917,90.7635,1972,188
1,0,-37.0931459,1973.651463,91.0767,1974,188
1,0,-48.54082441,1977.404306,91.4062,1978,188
1,0,-59.0996647,1975.116004,91.7139,1976,188
1,0,-70.3893703,1972.74462,92.0435,1974,188
1,0,-81.00410165,1968.333898,92.3566,1970,188
1,0,-91.85220341,1969.859684,92.6697,1972,188
1,0,-103.6010362,1977.287745,92.9993,1980,188
1,0,-114.4045734,1976.692084,93.3124,1980,188
1,0,-125.3303586,1972.021374,93.6365,1976,188
1,0,-136.1047928,1971.30705,93.9496,1976,188
1,0,-147.8903297,1976.474753,94.2792,1982,188
1,0,-158.2083731,1969.656343,94.5923,1976,188
1,0,-169.1931572,1964.728397,94.9219,1972,188
1,0,-179.7385736,1963.791752,95.2295,1972,188
1,0,-191.4199457,1966.706487,95.5591,1976,188
1,0,-202.9828285,1973.589109,95.8722,1984,188
1,0,-214.7648086,1976.36537,96.2018,1988,188
1,0,-224.880876,1969.201003,96.5149,1982,188
